protein_id,class_id
3j3q_1_TVA_h0_model1,8
6m44_3_C_C_model1,14
7vyi_11_K_c_model1,18
4u4o_23_W_D1_model1,83
8f22_1_B_B_model1,25
4u4q_11_K_S9_model1,16
7w3k_18_FA_T_model1,33
5cn4_1_A_A_model1,15
7aif_1_C_C_model1,47
3j3q_1_QIA_e7_model1,8
3j3q_1_GKA_6L_model1,8
6q8y_50_XA_BM_model1,5
3unb_8_V_j_model1,3
8bz1_24_X_h_model1,93
4e3l_1_A_A_model1,54
3j3q_1_OQ_ci_model1,8
7pm6_3_C_C_model1,90
6r87_18_R_5_model1,37
3j3q_1_HQA_7M_model1,8
7w38_19_QA_T_model1,33
3j3q_1_CE_2o_model1,8
3j3q_1_PVA_di_model1,8
4v88_53_CE_DP_model1,37
8d18_1_C_C_model1,90
8a2z_1_D_D_model1,90
8ra2_1_A_A_model1,15
4u3n_61_IB_N5_model1,62
3lel_4_R_R_model1,70
5tgm_64_NE_n8_model1,74
7nhc_3_C_C_model1,84
8i9u_2_B_B_model1,13
8guj_3_C_C_model1,14
6ryr_4_D_D_model1,80
1ke0_1_A_A_model1,54
6x0n_4_N_d_model1,70
7ajt_54_FB_DJ_model1,16
5fci_61_KE_n5_model1,62
5obm_67_OB_D1_model1,83
6rny_3_C_C_model1,14
4u4q_4_D_S2_model1,87
1o18_4_CA_3_model1,90
8quy_1_A_A_model1,25
8ti3_1_B_B_model1,61
8f22_1_E_E_model1,25
3j3q_1_YAA_kT_model1,8
6q8y_78_ZB_W_model1,16
3j3y_1_DAA_3C_model1,8
6rny_4_D_D_model1,34
4idk_1_A_A_model1,9
5lf4_13_AA_M_model1,33
3ue5_1_A_A_model1,90
3j3q_1_WV_jT_model1,8
7xct_4_H_H_model1,56
5wcu_3_Q_Q_model1,14
7qxp_27_OA_o_model1,71
8y36_10_J_F_model1,27
4e3o_1_A_A_model1,54
6qb8_7_G_Q_model1,35
7f4v_3_M_bC_model1,43
3j3q_1_OSA_cn_model1,8
7dkz_7_G_C_model1,43
4u4u_61_KE_n5_model1,62
3j3q_1_BQA_2M_model1,8
6q8y_63_KB_G_model1,0
4olg_1_B_B_model1,54
6bsg_1_A_A_model1,32
7qyb_27_OA_o_model1,71
3azh_4_H_H_model1,56
6vz4_4_D_D_model2,56
6j4x_21_U_c_model1,86
8xbt_3_G_G_model1,86
5tgm_15_PC_c3_model1,91
3j3y_1_TF_eP_model1,8
6r93_6_F_D_model1,56
8br1_1_A_A_model1,90
5oy7_4_AA_C_model1,40
3hmg_2_B_B_model1,53
3azh_4_D_D_model1,56
3j3y_1_RJA_d7_model1,8
5gjr_27_AA_b_model1,71
6hak_1_E_C_model1,47
7vz4_3_C_C_model1,86
8hag_3_G_G_model1,14
7qyb_32_TA_t_model1,33
6t7t_7_G_SC_model1,87
8jld_3_G_G_model1,86
7td2_3_C_A_model1,94
7bv4_1_C_B_model1,85
4hxj_1_A_A_model1,78
6u96_1_E_E_model1,90
7u0h_7_G_E_model1,5
5vtq_2_D_D_model1,59
7v9s_4_X_Z_model1,56
3j3q_1_JD_8a_model1,8
3j3q_1_MO_b_model1,8
3jbk_1_A_A_model1,90
5dc3_61_IB_N5_model1,62
6s47_26_Z_AZ_model1,62
4rtw_1_A_A_model1,48
3j3q_1_PCA_d6_model1,8
3j3y_1_ROA_dH_model1,8
3j3y_1_GD_5T_model1,8
3j3y_1_KP_8i_model1,8
7utl_1_L_L_model1,90
5on6_72_TE_d2_model1,17
7ad9_2_B_B_model1,90
8d17_1_B_B_model1,90
4u4q_63_KB_N7_model1,45
6jr0_3_G_G_model1,14
3j3q_1_PT_dd_model1,8
5os4_1_A_A_model1,67
6jou_4_D_D_model1,56
2q0u_1_A_A_model1,90
5vty_2_B_B_model1,59
3j3q_1_TM_gi_model1,8
7w3c_18_R_r_model1,60
8d18_1_E_E_model1,90
6uc0_1_C_C_model1,90
5ory_1_A_A_model1,67
7utl_1_O_O_model1,90
7zw0_18_R_sY_model1,91
3j3q_1_BDA_1x_model1,8
2xql_2_J_J_model1,56
8hr1_3_G_G_model1,14
7ohw_21_U_P_model1,37
4v9k_25_HC_BC_model1,11
3j3q_1_FWA_5u_model1,8
3j3q_1_ON_cc_model1,8
7u52_4_H_H_model1,34
5tw3_1_A_A_model1,9
6jr0_4_D_D_model1,56
7w3m_18_R_r_model1,60
6yn1_1_K_U_model1,14
3j3q_1_JG_8g_model1,8
1p3g_4_E_C_model1,49
7w3i_21_U_t_model1,33
5vfo_11_Y_q_model1,69
2o5q_1_A_X_model1,15
1s22_1_A_A_model1,90
7w9v_3_C_C_model1,86
7awe_13_M_a_model1,92
3j3q_1_NW_c4_model1,8
1o1d_4_EA_4_model1,90
3j3y_1_OW_bJ_model1,8
6tb3_66_NB_AR_model1,74
3j3q_1_YK_km_model1,8
4a0w_1_A_A_model1,66
7qxu_30_RA_r_model1,60
8sn4_3_C_C_model1,14
8p8u_3_C_QX_model1,62
7azy_18_R_S_model1,74
6kig_3_C_C_model1,41
4u52_61_KE_n5_model1,62
3j3y_1_LR_9U_model1,8
7ahq_1_C_C_model1,90
3j3q_1_YI_ki_model1,8
8e9b_8_K_N_model1,90
3j3q_1_VYA_il_model1,8
4u6f_11_K_S9_model1,16
4u4r_24_X_D2_model1,17
1hge_2_B_B_model1,53
3j3q_1_RLA_f2_model1,8
4u3u_15_O_C3_model1,91
6vkv_1_B_B_model1,25
5hgm_1_A_A_model1,25
6m3v_4_N_N_model1,56
6ylh_32_FA_a_model1,74
7snq_1_A_A_model1,25
5fcj_24_X_D2_model1,17
1hge_2_D_D_model1,53
3j3q_1_AOA_1S_model1,8
4v5f_37_LA_BC_model1,11
2w4u_5_S_L_model1,90
6kln_1_C_C_model1,90
3j3q_1_IF_7p_model1,8
7uqz_34_HA_a_model1,74
7xtd_28_BA_c_model1,86
6skn_1_O_O_model1,8
7zuw_28_BA_AW_model1,17
7pez_4_D_e_model1,79
7xzx_4_D_D_model1,56
3j3q_1_JVA_9A_model1,8
6uc0_1_A_A_model1,90
3j3y_1_GR_5v_model1,8
6bht_1_A_A_model1,25
6dzt_3_C_C_model1,14
5zf0_3_C_C2_model1,41
1cip_1_A_A_model1,94
7w3b_18_R_r_model1,60
8jla_3_G_G_model1,14
6esf_4_D_D_model1,70
5vfo_13_AA_S_model1,92
3j3y_1_YC_ht_model1,8
8ib8_1_I_I_model1,7
1o1a_4_CA_3_model1,90
5lyb_15_O_C3_model1,91
6p2g_1_A_A_model1,32
7mbm_8_L_N_model1,80
3jam_4_D_C_model1,65
3j3q_1_WG_j_model1,8
2rki_1_A_A_model1,22
3j3y_1_SBA_da_model1,8
7w3g_17_Q_q_model1,69
8sn3_3_G_G_model1,14
3j3y_1_KIA_8V_model1,8
3j3y_1_IW_7R_model1,8
7ttt_6_F_F_model1,52
3j3y_1_LMA_9L_model1,8
8d15_1_C_C_model1,90
7nky_23_AA_d_model1,80
6l4a_3_Q_Q_model1,86
3j3y_1_QY_cm_model1,8
7pzy_61_IB_O_model1,16
3j3y_1_WN_go_model1,8
5avc_4_D_D_model1,56
7v08_34_HA_a_model1,74
7b7d_61_IB_LT_model1,62
4wqf_3_IB_CC_model1,11
4wym_1_I_I_model1,25
3j3q_1_WSA_jO_model1,8
5tga_24_YC_d2_model1,17
6slu_1_F_F_model1,8
7pm6_3_G_F_model1,90
3j3q_1_YN_ks_model1,8
6cxj_1_A_A_model1,61
6x4c_1_A_A_model1,9
8d16_1_G_G_model1,90
3j3y_1_KJ_8W_model1,8
7too_9_I_AL06_model1,5
3j3q_1_PG_dD_model1,8
3j3q_1_UWA_hs_model1,8
4u50_15_O_C3_model1,91
3j3y_1_DY_3s_model1,8
7pdz_3_E_K_model1,61
7xfc_4_D_D_model1,93
8ty6_1_C_C_model1,25
8fy8_1_A_A_model1,64
3j3q_1_HI_75_model1,8
6trc_3_AA_3_model1,41
6wph_1_A_A_model1,32
6r94_5_I_G_model1,14
3mnn_4_H_H_model1,70
5z3o_4_H_H_model1,70
7peu_4_D_D_model1,79
8svf_4_D_D_model1,70
6kiu_4_H_H_model1,56
8ti3_1_D_D_model1,61
2r9w_1_B_B_model1,54
3j3q_1_GD_66_model1,8
6n8n_35_IA_n_model1,74
8sff_3_K_d_model1,52
8of4_3_C_C_model1,49
6hhq_28_UB_DB_model1,45
3j3q_1_QW_eY_model1,8
4a7l_1_F_F_model1,90
3j3y_1_FSA_5E_model1,8
3j3y_1_IS_7N_model1,8
5b32_3_C_C_model1,86
8fyt_2_B_A_model1,21
6t7c_4_H_H_model1,79
4u3u_63_KB_N7_model1,45
6buz_4_H_H_model1,56
3kuy_4_D_D_model1,70
8cbn_3_F_H_model1,70
3j3y_1_PZ_c4_model1,8
7yi5_7_H_J_model1,70
8vg0_5_E_C_model1,14
3j3q_1_JQ_9_model1,8
6zkg_40_OA_v_model1,81
3j3y_1_LU_9Y_model1,8
8bqx_66_NB_AR_model1,74
8d15_1_A_A_model1,90
5mvy_1_G_G_model1,90
3j3q_1_TE_gS_model1,8
3j3q_1_GG_6C_model1,8
6hoh_1_C_C_model1,73
8sna_3_G_G_model1,14
8ib2_2_B_B_model1,61
8agz_13_M_M_model1,45
3j3q_1_BU_2T_model1,8
3d32_1_B_B_model1,85
1eqz_3_H_F_model1,56
7qxn_27_OA_o_model1,71
7qxa_3_C_L_model1,14
6kif_3_U_g_model1,41
8agt_11_K_K_model1,62
6msg_29_QA_o_model1,71
8bn3_22_V_S9_model1,16
5vzn_1_A_A_model1,39
7x3j_7_G_Q_model1,35
6z6k_27_AA_SV_model1,83
7aig_1_C_C_model1,47
6w5n_8_H_J_model1,80
7nrc_17_Q_SY_model1,91
5fcj_23_W_D1_model1,83
3azf_4_H_H_model1,56
8aaf_3_C_C_model1,37
9b27_1_F_F_model1,90
8v6v_4_H_H_model1,70
3bm6_1_A_A_model1,54
3j3q_1_AN_1P_model1,8
3j3q_1_VM_iM_model1,8
7xd1_6_I_D_model1,56
8ugg_8_R_3U_model1,96
6vz4_3_C_C_model10,40
3j3q_1_XH_jr_model1,8
7vih_5_E_D_model1,21
3j3y_1_LGA_99_model1,8
2aro_1_E_E_model1,14
3j3q_1_DT_47_model1,8
7yrd_5_J_H_model1,56
6inq_18_V_g_model1,86
7e8d_4_H_H_model1,56
5mva_1_R_R_model1,90
6cex_2_B_B_model1,59
8jbx_3_G_G_model1,14
3j3y_1_XOA_hZ_model1,8
8she_2_B_A_model1,7
3j80_9_I_J_model1,76
5tgm_43_RD_l6_model1,5
6bkm_2_D_D_model1,59
7v9j_4_H_H_model1,56
2v1g_1_A_A_model1,15
1hq3_1_A_A_model1,14
8a2u_1_B_B_model1,90
1o1e_4_EA_5_model1,90
3lel_3_G_G_model1,14
7wbx_21_Y_g_model1,86
1nu1_8_H_H_model1,46
5oof_1_A_A_model1,90
3j3y_1_ZV_v_model1,8
8hki_7_M_Q_model1,35
8sn6_3_C_C_model1,14
6t83_5_E_Cb_model1,87
4b2t_7_O_q_model1,95
3j3q_1_SG_fh_model1,8
5hgl_1_A_A_model1,25
8civ_39_MA_M_model1,74
3j3q_1_RR_fD_model1,8
7utl_1_G_G_model1,90
6ri5_22_V_W_model1,62
7pfv_4_D_D_model1,79
3j3q_1_QN_eG_model1,8
1e1q_3_G_G_model1,38
3j3y_1_RQ_dK_model1,8
7x0s_7_Q_L_model1,13
6w17_9_I_I_model1,90
4b1z_1_D_D_model1,90
8oo7_11_O_O_model1,31
3j3q_1_ZD_lN_model1,8
8jnf_4_H_H_model1,56
8x15_1_A_A_model1,31
7x3j_8_H_Z_model1,75
3reh_4_H_H_model1,70
3j3y_1_PA_bO_model1,8
6rbd_14_N_V_model1,83
7wtp_10_J_SN_model1,91
5ay8_4_H_H_model1,56
4u55_19_TC_c7_model1,0
3j3y_1_PEA_bX_model1,8
4v5n_37_KA_BC_model1,11
7x3t_4_D_D_model1,93
7a1g_13_M_a_model1,83
3h4e_1_C_C_model1,25
5zze_1_A_A_model1,15
6hkt_3_M_Q_model1,86
7e8i_6_F_D_model1,70
3j3y_1_SAA_dY_model1,8
8ra1_1_A_A_model1,15
3j3y_1_OAA_ah_model1,8
3j3y_1_K_8D_model1,8
8u6i_1_A_A_model1,32
7w3k_18_R_t_model1,33
8ett_4_D_D_model1,80
4g5s_1_C_C_model1,94
3j3y_1_TG_eR_model1,8
7qin_1_D_D_model1,90
5o9g_3_C_C_model1,40
3j3q_1_EPA_4r_model1,8
6se0_3_C_C_model1,14
4ld9_3_C_C_model1,40
7ywx_21_Y_V_model1,34
7dbp_5_E_D_model1,79
7a1g_9_I_W_model1,16
8jnd_4_D_D_model1,56
1kx3_4_E_C_model1,14
3j3q_1_KT_9v_model1,8
5b0y_4_D_D_model1,56
8bzl_12_Z_Z_model1,92
7b12_12_L_K_model1,69
5yu8_1_E_E_model1,90
7sx9_1_A_A_model1,90
5mei_66_GD_S_model1,0
6r8y_4_D_D_model1,56
7xfl_4_H_H_model1,93
5av5_3_G_G_model1,86
3j3y_1_NP_aR_model1,8
6j4z_20_T_c_model1,86
3jam_24_X_W_model1,4
7ash_1_Q_Q_model1,8
3j3q_1_ZBA_lK_model1,8
3lr9_1_A_A_model1,15
3ayw_4_D_D_model1,56
7r8v_1_D_D_model1,90
7r46_37_LA_l_model1,81
8ugk_8_H_3H_model1,96
3j3q_1_ZGA_lc_model1,8
7v9k_4_BA_D_model1,56
5mei_70_KD_W_model1,83
6lab_4_R_R_model1,56
7w4d_26_AA_c_model1,18
3j3q_1_YGA_kf_model1,8
3j3q_1_GP_6U_model1,8
3j3q_1_WCA_it_model1,8
9b03_1_B_B_model1,90
7u47_3_C_C_model1,31
3j3y_1_P_bN_model1,8
6t20_1_C_C_model1,90
7xd0_2_B_C_model1,14
7v2h_26_AA_c_model1,18
8qz9_14_N_N_model1,60
6y9y_1_E_G_model1,8
5fcj_43_QA_L6_model1,5
4u51_64_LB_N8_model1,74
7naq_10_J_J_model1,69
6jo6_3_C_C_model1,43
8siy_5_I_J_model1,70
6tcl_3_O_CC_model1,41
8cg8_13_M_B_model1,37
3j3y_1_UHA_fC_model1,8
3j3q_1_KBA_9M_model1,8
6k33_3_MA_bC_model1,41
8q3x_4_D_DDD_model1,56
7x0a_8_O_Z_model1,75
6pwf_3_G_G_model1,14
6c0l_1_A_A_model1,9
3j3y_1_FGA_4r_model1,8
5jus_32_FA_FA_model1,74
3j3y_1_VO_g7_model1,8
4x23_5_E_C_model1,14
8tqp_1_G_G_model1,25
7w3g_15_LA_O_model1,71
8t21_1_A_A_model1,82
3gv9_1_B_B_model1,54
3j3y_1_NI_aD_model1,8
7pf0_4_M_N_model1,79
5dc3_53_CE_m7_model1,37
3j3q_1_WGA_j0_model1,8
8qul_1_A_A_model1,25
8hxz_4_D_D_model1,70
7nan_12_Z_Z_model1,92
8xzg_1_A_A_model1,64
5os0_1_A_A_model1,67
4v88_23_W_AV_model1,83
6qb8_1_I_a_model1,7
3mn7_1_A_A_model1,61
3lal_1_A_A_model1,22
6iq4_3_G_G_model1,14
5vfs_14_N_t_model1,33
